title,year,platform,is_3D,crush_40_involved,metacritic,user_score,units_sold,gross_revenue,soundtrack_streams
Sonic the Hedgehog,1991,Sega Genesis,2D,No,77,7.7,51814482,2793080000,60000000
Sonic the Hedgehog 2,1992,Sega Genesis,2D,No,83,8.2,25354061,1046680000,60000000
Sonic CD,1993,Sega CD,2D,No,82,7.7,7888255,167880000,102000000
Sonic the Hedgehog 3 & Knuckles,1994,Sega Genesis,2D,No,74,8.7,17016312,757300000,40000000
Sonic Advance,2001,Game Boy Advance,2D,No,87,7.8,1514542,66000000,3700000
Sonic Advance 2,2002,Game Boy Advance,2D,No,83,7.7,1016541,37000000,4600000
Sonic Advance 3,2004,Game Boy Advance,2D,No,79,8,142574,8000000,6400000
Sonic Rush,2005,Nintendo DS,2D,No,82,8.2,1620000,57000000,18800000
Sonic Rush Adventure,2007,Nintendo DS,2D,No,78,8.1,2545,200000,4800000
Sonic Mania,2017,Multi,2D,No,86,8.5,6399400,191005000,187000000
Sonic Adventure,1998,Multi,3D,Yes,87,8.5,9516512,267030000,74000000
Sonic Adventure 2,2001,Multi,3D,Yes,73,8.4,8318288,216100000,180000000
Sonic Heroes,2003,Multi,3D,Yes,72,7.7,4616425,239000000,72000000
Shadow the Hedgehog,2005,Multi,3D,Yes,45,6.4,2060000,113000000,100000000
Sonic the Hedgehog,2006,Multi,3D,Yes,46,5.3,1650000,99000000,141000000
Sonic and the Secret Rings,2007,Nintendo Wii,3D,No,69,5.7,1200000,70000000,34000000
Sonic Unleashed,2008,Multi,3D,No,60,8.6,4536508,233000000,134000000
Sonic and the Black Knight,2009,Nintendo Wii,3D,Yes,54,7.4,173443,12000000,52000000
Sonic Colors,2010,Multi,3D,No,78,8,4689689,228100000,91000000
Sonic Generations,2011,Multi,3D,Yes,77,8.4,6723096,352000000,150000000
Sonic Lost World,2013,Multi,3D,No,63,7.1,620000,45400000,32000000
Sonic Forces,2017,Multi,3D,No,57,6.2,3739621,160000000,76000000
Sonic Frontiers,2022,Multi,3D,No,70,8.2,3500000,210000000,210000000
Shadow Generations,2024,Multi,3D,Yes,80,9,1500000,90000000,3000000
Sonic R,1997,Multi,Racing,No,70,7.7,78468,4000000,50000000
Sonic Riders,2006,Multi,Racing,No,55,7.9,1490000,71000000,4400000
Sonic Rivals,2006,PSP,Racing,No,64,7.5,,,742000
Sonic Rivals 2,2007,PSP,Racing,No,60,7.6,,,746000
Sonic Riders: Zero Gravity,2008,Multi,Racing,No,56,7.9,,,4800000
Sonic & Sega All Stars Racing,2010,Multi,Racing,No,75,8.3,19820000,166200000,2500000
Sonic Free Riders,2010,Xbox 360,Racing,Yes,47,2.6,4160,300000,581000
Sonic & All-Stars Racing Transformed,2012,Multi,Racing,No,82,8.4,5286100,211200000,16000000
Team Sonic Racing,2019,Multi,Racing,Yes,72,7.2,3846339,154200000,7021577
